"ensemble_id","objective_function","maximum_gradient","hessian_status","positive_definite_hessian","hessian_reliability","negative_eigenvalues","nonpositive_eigenvalues","smallest_eigenvalue","dominant_uncertainty_block","tau"
"ensemble-001",98233.0285195284,9.61238413505548e-05,"Near-PDH",FALSE,"MODERATE",2,2,-6.77109,"Recruitment",1.3
"ensemble-002",90793.1502958468,8.22431634352898e-05,"PDH",TRUE,"HIGH",0,0,3.90616e-07,NA,1.2
"ensemble-003",95678.040132104,0.00628833584878223,"PDH",TRUE,"HIGH",0,0,1.4794e-07,NA,1.4
"ensemble-004",94348.627580997,7.27043404534605e-05,"PDH",TRUE,"HIGH",0,0,2.41625e-07,NA,1.2
"ensemble-005",100392.003293609,5.46278257900106e-05,"PDH",TRUE,"HIGH",0,0,2.02726e-07,NA,1.2
"ensemble-006",90039.8841194403,6.90218697200069e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.0541559,"Recruitment",1.2
"ensemble-007",94143.2565242791,8.37527730061043e-05,"PDH",TRUE,"HIGH",0,0,2.09747e-08,NA,1.4
"ensemble-008",90079.099668897,9.92659455831802e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.796826304230405,"Recruitment",1.4
"ensemble-009",89210.3951205126,9.38067380541855e-05,"PDH",TRUE,"HIGH",0,0,3.52587e-07,NA,1.3
"ensemble-010",91191.2462824498,7.9242681791666e-05,"PDH",TRUE,"HIGH",0,0,2.20466e-07,NA,1.4
"ensemble-011",90300.5924873346,8.56272818320985e-05,"PDH",TRUE,"HIGH",0,0,4.36488e-07,NA,1.4
"ensemble-012",94259.5581795038,9.79298296013536e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.0342331,"Recruitment",1.4
"ensemble-014",89811.369854319,9.20035581609109e-05,"PDH",TRUE,"HIGH",0,0,8.44349e-08,NA,1.2
"ensemble-015",91431.4389781749,5.55643589600894e-05,"PDH",TRUE,"HIGH",0,0,5.77772e-07,NA,1.4
"ensemble-016",90901.0959058241,0.00360254708395617,"PDH",TRUE,"HIGH",0,0,2.18925e-07,NA,1.2
"ensemble-017",90330.1045157195,0.000102513513173239,"Near-PDH",FALSE,"MODERATE",3,3,-10.9552,"Recruitment",1.3
"ensemble-018",90670.2316730618,8.57477940961789e-05,"PDH",TRUE,"HIGH",0,0,2.64047e-07,NA,1.4
"ensemble-019",105504.262409116,7.97634833285339e-05,"Near-PDH",FALSE,"MODERATE",1,1,-6.23236e-08,"Recruitment",1.3
"ensemble-021",89330.4853425372,9.66014026466494e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.77757375046984e-06,"Recruitment",1.4
"ensemble-022",89958.3472448323,9.21642756766876e-05,"PDH",TRUE,"HIGH",0,0,1.16911e-07,NA,1.3
"ensemble-023",94240.9844727716,9.98658390899425e-05,"PDH",TRUE,"HIGH",0,0,2.1378e-07,NA,1.2
"ensemble-024",90378.7262402949,8.11836402342817e-05,"PDH",TRUE,"HIGH",0,0,1.56277e-07,NA,1.4
"ensemble-025",89928.2489958922,9.08639946086583e-05,"PDH",TRUE,"HIGH",0,0,2.03584e-07,NA,1.2
"ensemble-027",90044.7116140645,9.25754150158406e-05,"PDH",TRUE,"HIGH",0,0,5.97079e-07,NA,1.4
"ensemble-029",89853.1469353827,9.61844017289685e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.000198501045729774,"Recruitment",1.4
"ensemble-030",93707.1243757821,9.25051540978643e-05,"PDH",TRUE,"HIGH",0,0,1.22288e-07,NA,1.3
"ensemble-031",90649.159685697,9.11508095562772e-05,"PDH",TRUE,"HIGH",0,0,3.56715e-07,NA,1.3
"ensemble-032",88935.7220123762,7.67099632872541e-05,"PDH",TRUE,"HIGH",0,0,1.04605e-07,NA,1.4
"ensemble-033",90472.61689135,7.33740515780615e-05,"PDH",TRUE,"HIGH",0,0,2.22295e-07,NA,1.4
"ensemble-034",100501.700085686,5.97639820182288e-05,"PDH",TRUE,"HIGH",0,0,1.19582e-07,NA,1.3
"ensemble-035",89621.6673406241,9.78312271498671e-05,"PDH",TRUE,"HIGH",0,0,9.96478e-08,NA,1.3
"ensemble-036",90803.9089336313,9.60307034878377e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.39545050098859e-06,"Recruitment",1.2
"ensemble-037",90958.2090442652,0.0197025700742639,"PDH",TRUE,"HIGH",0,0,1.82471e-07,NA,1.4
"ensemble-038",91038.6593808745,9.14521002644137e-05,"PDH",TRUE,"HIGH",0,0,2.36812e-07,NA,1.4
"ensemble-039",94533.6718935139,9.97282515925373e-05,"PDH",TRUE,"HIGH",0,0,3.14232e-07,NA,1.2
"ensemble-040",94527.5868221525,9.97022791262713e-05,"PDH",TRUE,"HIGH",0,0,1.76069e-07,NA,1.3
"ensemble-041",90268.110656382,8.28334541560407e-05,"PDH",TRUE,"HIGH",0,0,2.70286e-07,NA,1.4
"ensemble-042",89359.0839949587,9.38825263259918e-05,"Near-PDH",FALSE,"MODERATE",1,1,-3.1476e-06,"Recruitment",1.2
"ensemble-043",90710.2065136877,9.07956807652389e-05,"Near-PDH",FALSE,"MODERATE",2,2,-0.0406873254290174,"Recruitment",1.4
"ensemble-044",93282.2674052496,9.29595364811947e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.355570360587747,"Recruitment",1.4
"ensemble-045",90083.8977725884,9.94671952413932e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.43528e-06,"Recruitment",1.3
"ensemble-046",89322.4150463186,8.47119675689936e-05,"PDH",TRUE,"HIGH",0,0,1.57723e-07,NA,1.4
"ensemble-047",93582.7446635485,9.04861023687408e-05,"PDH",TRUE,"HIGH",0,0,4.3306e-07,NA,1.4
"ensemble-048",95152.4879758407,0.00272114791480196,"PDH",TRUE,"HIGH",0,0,1.53448e-07,NA,1.2
"ensemble-049",90316.9948461277,8.42124565130524e-05,"PDH",TRUE,"HIGH",0,0,2.77493e-07,NA,1.3
"ensemble-050",99110.8561080812,9.15693555346354e-05,"PDH",TRUE,"HIGH",0,0,3.1438e-07,NA,1.2
"ensemble-051",90885.4783621964,8.94541125010828e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.18157307148744e-07,"Recruitment",1.3
"ensemble-052",90810.4540165662,8.73075569047253e-05,"PDH",TRUE,"HIGH",0,0,1.54691e-07,NA,1.2
"ensemble-053",90473.337531032,9.44201894158258e-05,"PDH",TRUE,"HIGH",0,0,1.55464e-07,NA,1.4
"ensemble-054",98800.4369283552,9.82845716671051e-05,"PDH",TRUE,"HIGH",0,0,2.67075e-07,NA,1.3
"ensemble-055",89545.1250778607,7.68363871782179e-05,"PDH",TRUE,"HIGH",0,0,1.69232e-07,NA,1.3
"ensemble-056",89738.8394012212,9.56455524782732e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.26680141677037e-07,"Recruitment",1.3
"ensemble-057",89754.5826581451,9.81371285103359e-05,"PDH",TRUE,"HIGH",0,0,2.798e-08,NA,1.3
"ensemble-059",90933.0322424441,0.00294685710740291,"PDH",TRUE,"HIGH",0,0,1.8302e-07,NA,1.4
"ensemble-062",89387.5543377928,9.68912096726196e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.03341e-06,"Recruitment",1.3
"ensemble-063",89206.2503809006,5.93553076728006e-05,"PDH",TRUE,"HIGH",0,0,1.2221e-07,NA,1.3
"ensemble-065",90487.5214835783,9.17770284390758e-05,"PDH",TRUE,"HIGH",0,0,2.31751e-07,NA,1.4
"ensemble-066",90067.5462055429,9.35891790989841e-05,"PDH",TRUE,"HIGH",0,0,1.63112e-07,NA,1.2
"ensemble-068",90900.6280136224,9.55592043635695e-05,"PDH",TRUE,"HIGH",0,0,2.26184e-07,NA,1.3
"ensemble-069",91309.5783498791,9.8743567838717e-05,"PDH",TRUE,"HIGH",0,0,2.55743e-07,NA,1.2
"ensemble-070",105035.13802265,9.08775724676129e-05,"PDH",TRUE,"HIGH",0,0,3.51195e-07,NA,1.4
"ensemble-071",89623.3074349361,6.77863002124657e-05,"PDH",TRUE,"HIGH",0,0,2.00337e-07,NA,1.2
"ensemble-072",89870.8543687288,9.73948216398625e-05,"PDH",TRUE,"HIGH",0,0,2.32655e-07,NA,1.4
"ensemble-073",90665.1235867062,9.19944520636268e-05,"PDH",TRUE,"HIGH",0,0,1.77332e-07,NA,1.3
"ensemble-074",89738.8412087527,9.4139800001581e-05,"PDH",TRUE,"HIGH",0,0,1.53687e-07,NA,1.3
"ensemble-075",90284.5133978145,9.68746985254042e-05,"PDH",TRUE,"HIGH",0,0,2.08193e-07,NA,1.2
"ensemble-076",89729.0083119573,9.46904796903706e-05,"PDH",TRUE,"HIGH",0,0,1.96981e-07,NA,1.3
"ensemble-078",93534.1694015551,9.98011887170647e-05,"PDH",TRUE,"HIGH",0,0,1.51724e-07,NA,1.2
"ensemble-079",91023.7983733542,9.82179805203994e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.92638158291867e-05,"Recruitment",1.4
"ensemble-080",89824.0322836929,9.18081938210401e-05,"PDH",TRUE,"HIGH",0,0,1.13705e-07,NA,1.2
"ensemble-081",91238.4314201187,9.19822398004377e-05,"PDH",TRUE,"HIGH",0,0,2.58477e-07,NA,1.3
"ensemble-082",90866.0227858523,9.8646557371807e-05,"PDH",TRUE,"HIGH",0,0,6.76509e-08,NA,1.4
"ensemble-083",99100.2257258212,0.000632929300423106,"Near-PDH",FALSE,"MODERATE",3,3,-11.6145,"Recruitment",1.3
"ensemble-084",94747.2644961244,8.32858861730589e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.44101098845554e-06,"Recruitment",1.2
"ensemble-085",90551.7263759176,9.87241338180133e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.8696219996214e-06,"Recruitment",1.3
"ensemble-086",88897.7955277088,9.04712669578351e-05,"PDH",TRUE,"HIGH",0,0,3.10447e-07,NA,1.3
"ensemble-087",105126.47722288,8.83510971924596e-05,"PDH",TRUE,"HIGH",0,0,1.87908e-07,NA,1.2
"ensemble-088",89804.6314551239,9.24667876098685e-05,"PDH",TRUE,"HIGH",0,0,2.39283e-07,NA,1.2
"ensemble-089",94590.3533604105,8.63901131261884e-05,"PDH",TRUE,"HIGH",0,0,2.41197e-07,NA,1.3
"ensemble-090",94833.8540336592,9.38918086933695e-05,"PDH",TRUE,"HIGH",0,0,2.41413e-07,NA,1.2
"ensemble-091",89300.677157714,9.10361513023442e-05,"PDH",TRUE,"HIGH",0,0,1.89779e-07,NA,1.2
"ensemble-092",92991.5829823703,9.56064465466494e-05,"PDH",TRUE,"HIGH",0,0,3.45214e-07,NA,1.3
"ensemble-093",91194.7198416217,8.84219549571631e-05,"PDH",TRUE,"HIGH",0,0,2.6987e-07,NA,1.3
"ensemble-094",90341.2113122783,8.839341536233e-05,"PDH",TRUE,"HIGH",0,0,1.55547e-07,NA,1.4
"ensemble-095",89697.6372826279,6.97174238245996e-05,"PDH",TRUE,"HIGH",0,0,1.72104e-07,NA,1.2
"ensemble-098",90543.8730668689,9.94783045301106e-05,"PDH",TRUE,"HIGH",0,0,3.43013e-07,NA,1.4
"ensemble-099",89935.7292672711,9.3131629770041e-05,"PDH",TRUE,"HIGH",0,0,3.1161e-07,NA,1.3
"ensemble-100",90836.2264994605,0.000771164178497242,"PDH",TRUE,"HIGH",0,0,1.56369e-07,NA,1.4
