"ensemble_id","terminal_year","sb_recent_period","sb0_recent_period","recent_depletion_period","f_recent_period","sb_recent_kt","sb0_recent_kt","sb_recent_sb0","recent_mean_depletion","sb_recent_sbmsy","f_recent_fmsy","historical_target_period","historical_target_depletion","recent_historical_target_ratio","below_lrp_020","below_sbmsy","above_fmsy"
"ensemble-001",2024,"2021–2024","2014–2023","2021–2024","2020–2023",324.8985,1240.682,0.261870890365138,0.261294281106756,1.66188491048593,0.8110300081103,"2012–2015",0.253055195509007,1.03255845263788,FALSE,FALSE,FALSE
"ensemble-002",2024,"2021–2024","2014–2023","2021–2024","2020–2023",663.6764375,2150.34075,0.308637799613852,0.306811034434357,1.81084976125512,0.783085356303837,"2012–2015",0.31502686439427,0.973920224309409,FALSE,FALSE,FALSE
"ensemble-003",2024,"2021–2024","2014–2023","2021–2024","2020–2023",255.155625,1697.33,0.150327646951388,0.149413042983377,0.819645438483778,1.48898153662895,"2012–2015",0.158348134287186,0.943573119165368,TRUE,TRUE,TRUE
"ensemble-004",2024,"2021–2024","2014–2023","2021–2024","2020–2023",348.14025,957.752,0.363497283221544,0.360983950117188,2.417640625,0.530785562632696,"2012–2015",0.36126768931517,0.999214601232345,FALSE,FALSE,FALSE
"ensemble-005",2024,"2021–2024","2014–2023","2021–2024","2020–2023",263.8514375,1682.2665,0.156842829302016,0.156672892203683,0.867646950016442,1.29399585921325,"2012–2015",0.166180159716786,0.942789394779101,TRUE,TRUE,TRUE
"ensemble-006",2024,"2021–2024","2014–2023","2021–2024","2020–2023",276.733,2188.02875,0.126475943243433,0.126631481974079,0.736775825346113,1.43988480921526,"2012–2015",0.128515553147448,0.985339741943857,TRUE,TRUE,TRUE
"ensemble-007",2024,"2021–2024","2014–2023","2021–2024","2020–2023",303.8293125,1050.1705,0.289314270873158,0.287162466147549,1.85148880255941,0.722543352601156,"2012–2015",0.291820294084877,0.984038711385941,FALSE,FALSE,FALSE
"ensemble-008",2024,"2021–2024","2014–2023","2021–2024","2020–2023",279.0221875,1376.83975,0.20265407611888,0.202273212164861,1.19291230226593,1.01471334348047,"2012–2015",0.203888255624481,0.992078781317378,FALSE,FALSE,TRUE
"ensemble-009",2024,"2021–2024","2014–2023","2021–2024","2020–2023",333.606625,1303.7395,0.255884419395132,0.254759903771857,1.48269611111111,0.832639467110741,"2012–2015",0.255891836002077,0.995576520736634,FALSE,FALSE,FALSE
"ensemble-010",2024,"2021–2024","2014–2023","2021–2024","2020–2023",276.2215625,971.01825,0.284465881562988,0.282825461278873,1.64613565256257,0.715307582260372,"2012–2015",0.299539117172789,0.944202092696044,FALSE,FALSE,FALSE
"ensemble-011",2024,"2021–2024","2014–2023","2021–2024","2020–2023",684.8306875,2210.48525,0.309810114091465,0.306861521011383,1.66423010328068,0.778210116731518,"2012–2015",0.324931939634603,0.944387065661993,FALSE,FALSE,FALSE
"ensemble-012",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1169.5438125,2794.838,0.41846569014018,0.414837916731685,2.2096047846212,0.628930817610063,"2012–2015",0.421828793219123,0.983427218341147,FALSE,FALSE,FALSE
"ensemble-014",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1104.844125,3697.1905,0.29883343176393,0.298561467602487,1.43393137573005,0.958772770853308,"2012–2015",0.319348695142138,0.934907429227483,FALSE,FALSE,FALSE
"ensemble-015",2024,"2021–2024","2014–2023","2021–2024","2020–2023",263.5070625,1900.6195,0.138642722806958,0.138808961054086,0.792979423713512,1.34246207544637,"2012–2015",0.147453104921496,0.941376996625386,TRUE,TRUE,TRUE
