ensemble_id,rr_group,requested_tag_reporting_flag2,effective_flag2_when_mixing_period_positive,effective_flag2_when_mixing_period_zero,tag_mixing_k_cutoff,zero_mixing_events,tag_reporting_zero_mixing_exclusions,maximum_gradient_component,retention_criterion,source_archive,archive_sha256,final_par_source_path,final_par_split_path,final_par_bytes,final_par_sha256,bet_ini_archive_member,bet_model_ini_archive_member,archived_bet_ini_model_ini_byte_identical,bet_ini_split_path,bet_ini_bytes,bet_ini_sha256,plot_rep_source_path,plot_rep_split_path,plot_rep_archive_member,plot_rep_bytes,plot_rep_lines,plot_rep_sha256
ensemble-001,inclusion,0,0,1,0.1,0,0,9.61238413505548e-05,public fit ledger maximum_gradient <= 1e-4,job-022501/output_archive.tar.gz,2f4e93a5098e4ff438bfb955032a7b346302f4bcbf756e90748f9587994996f8,final-par/ensemble-001/final.par,final-par-rr-inclusion-flag2-0/ensemble-001/final.par,2957210,81853e0f513af299efc731902535f78ca5b6343da39ea8ea15111872443e7a96,./outputs/models/ensemble-001/bet.ini,./outputs/models/ensemble-001/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-001/bet.ini,66809,ebebd3ea8a9c78e91acbec32bcd757b3ab1e6cf925a68a9339c8f9d0d92d4285,final-par/ensemble-001/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-001/plot-11.par.rep,./outputs/models/ensemble-001/plot-11.par.rep,2851710,6349,c376c6edcf172e25f6863e54011a8ed44a8b61ea25e3169bce246024b9fcb211
ensemble-005,inclusion,0,0,1,0.3,14,14,5.46278257900106e-05,public fit ledger maximum_gradient <= 1e-4,job-022505/output_archive.tar.gz,a28d5148aae96110f5ed8eb2454e2c5715a99a0e8d296638b9a246d2cc262d73,final-par/ensemble-005/final.par,final-par-rr-inclusion-flag2-0/ensemble-005/final.par,2957213,26ea565fbae231b59eeba8646da53d939c06adfa5ec9f451f11e813ef376d9d2,./outputs/models/ensemble-005/bet.ini,./outputs/models/ensemble-005/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-005/bet.ini,66811,a3490248b17cb5996053e62573311ccd44b059602b9873f66da9bb2c565a33de,final-par/ensemble-005/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-005/plot-11.par.rep,./outputs/models/ensemble-005/plot-11.par.rep,2844344,6349,1ba9d82db2cabc79e3484741078037c3896c2935f0c709fc03c79bd7d38a5029
ensemble-006,inclusion,0,0,1,0.25,6,6,6.90218697200069e-05,public fit ledger maximum_gradient <= 1e-4,job-022503/output_archive.tar.gz,3dbb4af73c4c60fcf7c07888a9606daeb722d8803f45460f9ff7304946d6ee2b,final-par/ensemble-006/final.par,final-par-rr-inclusion-flag2-0/ensemble-006/final.par,2957227,71c9147f47a20da15ba3d0a0f01136ee55b018558658e690776c6b6edf896b7a,./outputs/models/ensemble-006/bet.ini,./outputs/models/ensemble-006/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-006/bet.ini,66811,02ce422a4d3f699c356f76d2d9575814d73e795df145c776445c00e64092234d,final-par/ensemble-006/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-006/plot-11.par.rep,./outputs/models/ensemble-006/plot-11.par.rep,2844546,6349,a8cc1ac04ce826bda95b1e1e94141f34a3280cc45ca67d392b01e0a6bd3ce7c6
ensemble-007,inclusion,0,0,1,0.35,18,18,8.37527730061043e-05,public fit ledger maximum_gradient <= 1e-4,job-022510/output_archive.tar.gz,9cfd7cbfef8b489cde76e96c5f780e0b7430312900f72bcf862ce03a18ef45c1,final-par/ensemble-007/final.par,final-par-rr-inclusion-flag2-0/ensemble-007/final.par,2957219,e1f5072290ccf463c2f4ca94a7e5f44b611970653cdc7fb9293169744bcd7bae,./outputs/models/ensemble-007/bet.ini,./outputs/models/ensemble-007/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-007/bet.ini,66809,97565d4093a96fe4ccdfa870d728d874689fbeb3d466ce88add23bfe93adb859,final-par/ensemble-007/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-007/plot-11.par.rep,./outputs/models/ensemble-007/plot-11.par.rep,2853904,6349,994a7081cbf9b951869449ab76f3314501f0287bcaf51faf18a60ac2f24d4596
ensemble-008,inclusion,0,0,1,0.15,1,1,9.92659455831802e-05,public fit ledger maximum_gradient <= 1e-4,job-022506/output_archive.tar.gz,82381a46bf3aa0968d97abbf561c1c6d3aa822f22603adde62ebc6f27be705a7,final-par/ensemble-008/final.par,final-par-rr-inclusion-flag2-0/ensemble-008/final.par,2957210,c5207c7e5cd12a4b66630cfa048a98d0b898269d7aeb601b8f7de015cfdf3e5e,./outputs/models/ensemble-008/bet.ini,./outputs/models/ensemble-008/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-008/bet.ini,66811,1003d7f45aa6d566059af33081b4095a0d56ed4165c26457d4bfda17f3796e70,final-par/ensemble-008/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-008/plot-11.par.rep,./outputs/models/ensemble-008/plot-11.par.rep,2847498,6349,0ee382f45143f6d101bacd1c1197f7339f9f374733db3f389a5664a89c004679
ensemble-014,inclusion,0,0,1,0.2,2,2,9.20035581609109e-05,public fit ledger maximum_gradient <= 1e-4,job-022515/output_archive.tar.gz,823c28f6d617a883006dfe108e7db744ba5a137a17130a9aa3531257c3c2f791,final-par/ensemble-014/final.par,final-par-rr-inclusion-flag2-0/ensemble-014/final.par,2957178,ccdba7a52bc661901e5b3480b70f5fb9792c6e9a276cb80f24d3c9bb8c9bac0c,./outputs/models/ensemble-014/bet.ini,./outputs/models/ensemble-014/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-014/bet.ini,66809,96068f7af3ee22369e1726e61be3957d43309b5a3624d9675cfe7a42c840658b,final-par/ensemble-014/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-014/plot-11.par.rep,./outputs/models/ensemble-014/plot-11.par.rep,2847237,6349,4fdd86f517ad732ad3a6b8dbeddda8ccdf129b0d8f161b0d1244c06c1d0435d6
ensemble-022,inclusion,0,0,1,0.15,1,1,9.21642756766876e-05,public fit ledger maximum_gradient <= 1e-4,job-022521/output_archive.tar.gz,115d7e27f42c8ebc2a045956071a75801f628140715f7c6b51893aaeb32e46c2,final-par/ensemble-022/final.par,final-par-rr-inclusion-flag2-0/ensemble-022/final.par,2957275,f38664c2809d20bdc5db90b97f10537de397fddf026692cc8c9f64e42dd98963,./outputs/models/ensemble-022/bet.ini,./outputs/models/ensemble-022/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-022/bet.ini,66811,b8c4927dcbeec3fad8a6810455d176b8bd0e6dbad3ded2a1c90f430366a4b965,final-par/ensemble-022/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-022/plot-11.par.rep,./outputs/models/ensemble-022/plot-11.par.rep,2848939,6349,4d924bdb5cb98efb394107b53fb490f67ee2da34198dbd406d188d4808ff4cc8
ensemble-025,inclusion,0,0,1,0.25,6,6,9.08639946086583e-05,public fit ledger maximum_gradient <= 1e-4,job-022524/output_archive.tar.gz,7d302e8029a73ecdae575efb6cb0a6e850348375c71067cb4b523f6cae05735b,final-par/ensemble-025/final.par,final-par-rr-inclusion-flag2-0/ensemble-025/final.par,2957218,8052210b680a96e8b3faddf95378da28752cc128d14bd77f87048739cabc9b14,./outputs/models/ensemble-025/bet.ini,./outputs/models/ensemble-025/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-025/bet.ini,66809,518fb6ce4a02fc26931e222a35231fb5fc86465cacd8e3b5779a5c54f02f3810,final-par/ensemble-025/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-025/plot-11.par.rep,./outputs/models/ensemble-025/plot-11.par.rep,2848138,6349,81da2ab6cc943adee25532d1c15c90803f624961c19bcb86c202b34ad2fb6bdd
ensemble-027,inclusion,0,0,1,0.15,1,1,9.25754150158406e-05,public fit ledger maximum_gradient <= 1e-4,job-022526/output_archive.tar.gz,15e1eba603716027e825c23d83a402f71890def580abe074c15131527cef414b,final-par/ensemble-027/final.par,final-par-rr-inclusion-flag2-0/ensemble-027/final.par,2957232,8d69a6924f4c032d90fe308c9f0c0442ec6120818f39634f9fcbae8b7fa585a9,./outputs/models/ensemble-027/bet.ini,./outputs/models/ensemble-027/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-027/bet.ini,66811,9ad3e0c8ce7a0961bdd3bdd5ad02913161847acf34b5d0bfae9c81caef562c1f,final-par/ensemble-027/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-027/plot-11.par.rep,./outputs/models/ensemble-027/plot-11.par.rep,2847416,6349,7ec64b3ac55145809c3ff3c3f11161ad401d9b0e3c5a3ef2073d5e07e422ed7a
ensemble-029,inclusion,0,0,1,0.1,0,0,9.61844017289685e-05,public fit ledger maximum_gradient <= 1e-4,job-022528/output_archive.tar.gz,f5c975d87e90e7c82a072889cc9a1bf15fce70c68fd51b43f6071e15fc9105f8,final-par/ensemble-029/final.par,final-par-rr-inclusion-flag2-0/ensemble-029/final.par,2957203,54b4049b2258f4346af0f29e39df933ff55ae54d33e7c140c4d452da0dd712e3,./outputs/models/ensemble-029/bet.ini,./outputs/models/ensemble-029/bet.model.ini,TRUE,final-par-rr-inclusion-flag2-0/ensemble-029/bet.ini,66811,b345200ea9468b3a6b0e587b74978596596cb0e1e1d706a038c60fbb000f404c,final-par/ensemble-029/plot-11.par.rep,final-par-rr-inclusion-flag2-0/ensemble-029/plot-11.par.rep,./outputs/models/ensemble-029/plot-11.par.rep,2848427,6349,6e3a7623e438fbbfdaf1e92568d4d414eabb0dd319415186ca97013b57e6903b
