"ensemble_id","draws","n_parameter","equilibrium_dependent_variables","equilibrium_curve_points","maximum_equilibrium_f_multiplier","central_f_multiplier_at_msy","central_sbmsy_mt","central_f_recent_fmsy_relative_error","central_sb_recent_sbmsy_relative_error","minimum_draw_f_multiplier_at_msy","maximum_draw_f_multiplier_at_msy","equilibrium_gradient_sha256","method"
"ensemble-002",100,1997,1791,476,4.75,1.27633333333336,366600.233333323,0.000522329589953687,0.000268720827398677,1.20205378327923,1.35691707169395,"db355f81c4d7e6abc2c96d75e5c84496079329361454fe6b137b337e3e045b0b","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-003",100,1997,1167,268,2.67,0.671595744680852,311346.106382978,6.33613178709556e-06,0.00013532113794505,0.649386300917728,0.697527142804163,"8cc2bb86977042bfae8697ebc59c1ad4cccf278f1cc0245fc00b1aab04145a8c","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-004",100,1997,2220,619,6.18,1.88357142857144,144024.999999998,0.000227531285544392,0.000179135153157745,1.74238229268446,2.0426157909081,"f185c2d427f034f77f18ea8e858aeb6b69d8807fcdf09941574892952ef17b02","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-005",100,1997,1107,248,2.47,0.772954545454543,304035.295454547,0.000199941193762944,0.000214650770769241,0.747756167347527,0.815589458691915,"bf486c9b90e2e10d1d4d13c42ecbba87a565837133f4e262fbc3ad01eeed63a5","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-007",100,1997,1761,466,4.65,1.38423076923078,164158.615384614,0.000166712975832792,0.000368039884057843,1.28719667395472,1.46972617597926,"8b48e897d17bcf826c3b1f5efdc774cb1df3e43fbf323f577f8510104a04be21","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-009",100,1997,1533,390,3.89,1.20149999999999,224972.550000003,0.00041614648355455,0.000116177441771967,1.14065730743059,1.26424655262607,"4174cfb31b26176bc42eb185e5d3d1fda279a2acd3f8408651c2a3d5ce936670","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-010",100,1997,1563,400,3.99,1.39777777777777,167787.222222223,0.000158982511926752,7.01359703185215e-05,1.33560025815875,1.45906030992241,"04563f6e5f2fb03750966bc6e6e00c5cb76ec707a91c421448fbcf8ac8fed717","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-011",100,1997,1584,407,4.06,1.28450000000001,411723.899999996,0.000389256520040456,0.000527809954167769,1.23565681910319,1.33595861111541,"f77575537dd6043409e15e3627ae45492761ebda1381c858b1a1cb9f97e89c19","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-014",100,1997,1308,315,3.14,1.04266666666668,770494.066666656,0.000319693094619575,1.06308028635981e-05,1.0052422875556,1.07837542642357,"0346c6cba2c91b1855b68c341f0e40454821237b23ffa34d1a7e5be89877526e","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-015",100,1997,1110,249,2.48,0.745,332232.5,0.000134228187920493,0.000206391524186447,0.717819252317103,0.770828969815624,"956c18405f063791eebf65d11282164170e087829acce93671a0880e219dad47","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-016",100,1997,1059,232,2.31,0.699363636363636,373943.563636364,9.09918107369036e-05,0.000158420271901294,0.674305573800639,0.723198807887694,"dc34e554536a0d96a12d9bb0a08e9cf19e562353d61ab823d11ed6e181b34f7d","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
"ensemble-018",100,1997,1284,307,3.06,0.924333333333332,268744.000000001,3.60620266829048e-05,0.000198130875542872,0.884542080080808,0.963499747203996,"65c90a8d69b6136fe5fbb8557e07f705832289df0cc1c7153944655dacba9a64","joint Hessian draws propagated through the equilibrium-yield optimum and spawning biomass at MSY by implicit differentiation"
