"ensemble_id","source_archive_sha256","maximum_fished_biomass_difference_mt","maximum_fished_biomass_relative_difference"
"ensemble-001","29eb5bb3f4fcd3d8e63967af3c05900bcf16d49af800be19a8759a56cb90ddbb",50.5,0.00154824863953399
"ensemble-002","a09598f3d97db24c37a38c756651095b548f80c965f8099684bfcc08fe2c4b35",159.5,0.00381763892794954
"ensemble-003","2b9f0545fbef8bf0f96f69869036bb6c0d30ddca4d061bda242bb54b505b7093",21,0.000731867745013572
"ensemble-004","7fb764259e391db9bad9850152e432818a578b8f62bc59ea1857ff0c0041c2b5",74.75,0.00241881987477147
"ensemble-005","a523548e8397b306106e443d68accd1bca946e3870d38833d7a903278f0e20ff",29.25,0.00107099703416206
"ensemble-006","d510b15a9a236b91898ada87a01d44e4c81ea139d9398b9144b4a5347a6c5a39",66.5,0.00212397294729193
"ensemble-007","4ae65933f28bd979438c773a8c6d59e411027bed1fba26271e65ac03498650bb",47.5,0.00176627529724554
"ensemble-008","d4e081285604c9bc1dd7dfe96dcc71ea2a62e3f7de2a8e4755fa7e7506945cd1",53.25,0.00186689805684836
"ensemble-009","c933aa99c077185a9a9a1908dade54b2435d35a1f4306927e9a96889c6660b79",83,0.00240588427116925
"ensemble-010","9202fae2f65609213fe85dfbc2172a79b12797385939337620ebde71af6d0e86",43.5,0.00175789537491665
"ensemble-011","1ef89a30fe428ee45d59c1193dba8d0794ea4d9e061f52d78551d62617792d47",130.25,0.00232204696685401
"ensemble-012","51c89b47beea12610fe4ddf9e49c5d9713af6604271ff929c6e2533377900ca9",79.75,0.000765560803286872
"ensemble-014","88937cd01bd0d950d865da3eff45f6af1259fefe7236874eaa661ec56042bd3d",224.5,0.00419159999626584
"ensemble-015","7295a111111f38edfe45bd6ef43bfb10579ca7a643628500ffa43ae5fa2953c3",62,0.00194098771229553
"ensemble-016","6c1322068845e9c5b3887e7bc7c3ab795ea1c5e610168d8c23a5f09cda122d7a",71.25,0.00219286434248694
"ensemble-017","8a9105eefa4c9229c1648b220e7e4cd0a2a1e80af1eea0ef1ccf7da45333c277",174.5,0.0035774324490549
"ensemble-018","1112b9682afade1ecefd6db2a09d745be3740538f37d604ee02aaa14dcd9317b",70,0.002140541862883
"ensemble-019","af37d51bfe10171a9da83a42bd7ee7f1bcd5d606707ecf09a928ab353afbd81b",145,0.0011309570236331
"ensemble-021","a5aa247a2bf17f39a4d813e9f9f4d2e89b0c044cf9e8d0f159ec06d643a55bcc",88.5,0.00262389373971567
"ensemble-022","6b974b2451cc853810db1317b7f84ce7d04e6e15c0177ea8dabb6eed272b1016",62.25,0.00220748594833242
"ensemble-023","c7ef8ec80223009d5221dc71119bbfbd1f84bf75eb3bc90268af30867fb21f3e",67.5,0.000433226898576769
"ensemble-024","dba9513f82d2058961cb1090a3e14063bc8f5dc6770ccbe3bbba8f34c2d93e70",47.75,0.00176771649899583
"ensemble-025","d824857879d671c0176d6628ec16e4d1b992af44d9ea5c10348f4313786e4d82",42.5,0.0014073430191647
"ensemble-027","7fc777a917bff0a88d8e74df2ac46fce5106f8c869d7ae6ca91a5b88f977085a",58,0.00204257716891761
"ensemble-029","709c6d86cbba5496f6b80baec8019a88bf4d8174a5898cbbd43297bd006a2a93",51.5,0.00167084377610693
"ensemble-030","df93b6551938d89f9f2c53ee62e2a00387d0356c86d20a29baa69ce04d51403f",68,0.00243087207535703
"ensemble-031","0f639a7ea1db7d70165182fe11d300578640d3724e3d36d68527b2f2da00e17b",83,0.00250084742570901
"ensemble-032","f43ef10c7fef648e23078411a628ef1c9f66a7803a68d338f670793b870770f4",35,0.000803837334949793
"ensemble-033","71f3ea8c70c1a9d1eb7c64e4e816076dfc71026bdf2460e0373931158e471b89",58.25,0.00210909354237196
"ensemble-034","b784d265807cd3109c5315c522c5b3ca419ade97458c9beeb8d00444690e6142",33.25,0.00114985259408474
"ensemble-035","ec559aa5f50bd0834632537f5989d8932bab32355db2d1e002b33bc9f421a7e4",48.25,0.00155705434361688
"ensemble-036","25a6e0d796fa9706ffc6604d75657549801bcc31325210a93c4928cf3a16a18e",116.5,0.00316273135108354
"ensemble-037","edcda3e89107bf1ce69a576702c99646bc40947eca040be72c589c0d989f5643",46.25,0.00138990105407091
"ensemble-038","92fc4ad4fba026f1f8c9d232821caecb1dbcb1235d78f362aabffaf5f155cf28",69,0.00205364782916031
"ensemble-039","be8a0cad41c00f0a534770efbf7ab0c872697d59cd9dd8fff739a9c184073212",132.5,0.00350730909981272
"ensemble-040","13a07ad251f4e095c7e888fc3dc1c3a440ed4ac699c133a4a1e6a3b595e8f77b",182.25,0.00396542626972514
"ensemble-041","04c54565ab7a3ba86190dba2a30eaaa8931f99e5f5c81c4bf47362868615298b",170,0.00118310251235298
"ensemble-042","cd289ed7a6c0243374a96314caee690280f157dc01275019b33dd78a3c86f227",125.75,0.00283412215460897
"ensemble-043","eaf802c436ffeb7bc1429237d3476f4c314a1a64eae36616d652fc74c437a6ac",106.5,0.00335084793757669
"ensemble-044","03377d290c4ca90c5c4edbfcae1e1536ee53a6a551ae2177419f65109d48a684",50.75,0.00166654352305659
"ensemble-045","0ade23580ca90d87aaabf4a4d284d60ab396c7f73e496c30edca7fd5555ae635",113,0.0023380076243877
"ensemble-046","a139021676b3d583710bb14cc10f568f1c2a819be1004ba649c859fd35273444",80.5,0.00291925803702562
"ensemble-047","59b7502aad7962bd79b1a3bcde0ffeec514ee0f715d02baeb1c1e668479d37f5",150.25,0.00261110218055272
"ensemble-048","22f6cff6d2d67ea1b3bfb6fb73d9b6ba17cdf0adf721d5ccc4535bcb614f8ea7",118.75,0.00364814942820058
"ensemble-049","ebdfcce1d3666d9018b5fc7a733cf7ce8ca6b681d2062ff3c836498d23f494f7",37,0.00140692434929749
"ensemble-050","c6a49d5d7639a4a7783bca20b992bbf23921c85ac4e4030ec61ea93248ce1216",124.75,0.00328410467014163
"ensemble-051","7643b71d09237c0f612f8609582bf26450f3bda8c7402819ac01e12898cbd633",265.25,0.00461200076504443
"ensemble-052","a8c0b21948bb32dfdcf32668de456dcdf486366f4495d18ebff2d4fcb53ab384",44,0.0014754331989236
"ensemble-053","5fa25574997102606b3037763d784611c227fd47338d694a7cd20fe6d07d29d2",236.25,0.00324982375294462
"ensemble-054","13e8d871427424e409b7e184c903b15344097ee853ce5b18c3f53b12097e3a84",128.5,0.00281594460149453
"ensemble-055","6d460a14e819d1c5de3464d1432de45a7adb809739e88e5517ccc26064a5d08b",181.25,0.00179673366211494
"ensemble-056","9eba32070eda83fb7af5537c86366ee4d2276b4c809961da69eff32fd56bd8b4",63,0.00208917112964468
"ensemble-057","c9731175cc7eedbb86dad809416df88a5b220d038aad258186b4ef72ca49625c",64.25,0.00227204413246813
"ensemble-059","0de217903eacdf581a7a959665d2043c5efd77b38cf37e2297eb9486fdedd043",72.5,0.00241138172172655
"ensemble-062","e225cd77722e63e97d3b54fcd1ea3993a390c8c8b4be8f5579d241b0bac2915c",49.25,0.00164289884079726
"ensemble-063","2f2e300b7636528fe20a3b7b7f3eb3c024d35841eeb1136833f8e5fdfa6ddd2c",62.25,0.00199966270749512
"ensemble-065","128701154a7164531aa0470cba9e9051bea19f5ab84df8e710a98897bbcf7708",56.25,0.00203263049487777
"ensemble-066","a514c685163977095be568e573632775d3947714544460cf87b1cf921c864fd0",61.75,0.00208634248114267
"ensemble-068","83fdf6dfb430148ac2bf7f956ff343c2cb8166a31df334bf813a2ba604327ce5",57,0.00202715318343069
