"axis","level","count","proportion"
"Tag overdispersion tau","1.2",33,0.33
"Tag overdispersion tau","1.3",34,0.34
"Tag overdispersion tau","1.4",33,0.33
"Tag mixing periods (K cutoff)","0.05",6,0.06
"Tag mixing periods (K cutoff)","0.1",12,0.12
"Tag mixing periods (K cutoff)","0.15",19,0.19
"Tag mixing periods (K cutoff)","0.2",26,0.26
"Tag mixing periods (K cutoff)","0.25",19,0.19
"Tag mixing periods (K cutoff)","0.3",12,0.12
"Tag mixing periods (K cutoff)","0.35",6,0.06
"Tag reporting","exclusion",50,0.5
"Tag reporting","inclusion",50,0.5
"Effort creep","0.5% / 0.25%",20,0.2
"Effort creep","1.0% / 0.50%",20,0.2
"Effort creep","1.5% / 0.75%",20,0.2
"Effort creep","2.0% / 1.00%",20,0.2
"Effort creep","2.5% / 1.25%",20,0.2
