"ensemble_id","steepness_rank","tag_mixing_rank","tag_reporting_rank","natural_mortality_rank","effort_creep_rank","tag_overdispersion_rank"
"ensemble-001",75,8,38,71,18,59
"ensemble-002",94,47,74,31,8,33
"ensemble-003",78,98,12,36,70,80
"ensemble-004",83,19,70,93,94,20
"ensemble-005",22,87,19,50,46,15
"ensemble-006",65,76,22,17,3,28
"ensemble-007",74,95,18,85,17,95
"ensemble-008",43,25,20,65,34,75
"ensemble-009",51,63,93,73,28,41
"ensemble-010",15,92,89,92,74,68
"ensemble-011",57,15,86,35,24,98
"ensemble-012",93,3,96,28,69,72
"ensemble-013",36,62,50,87,53,27
"ensemble-014",14,55,28,2,6,9
"ensemble-015",41,99,77,33,84,92
"ensemble-016",30,65,25,30,63,14
"ensemble-017",97,20,32,13,75,57
"ensemble-018",44,58,95,56,33,73
"ensemble-019",48,17,68,22,1,42
"ensemble-020",58,82,24,4,2,51
"ensemble-021",29,30,69,82,98,87
"ensemble-022",10,33,11,83,44,58
"ensemble-023",2,2,71,14,91,8
"ensemble-024",59,90,64,86,29,91
"ensemble-025",88,80,17,48,37,10
"ensemble-026",69,81,48,5,89,21
"ensemble-027",16,24,30,72,65,89
"ensemble-028",76,32,47,79,67,31
"ensemble-029",46,14,41,67,79,90
"ensemble-030",56,43,73,98,35,40
"ensemble-031",12,60,79,58,58,38
"ensemble-032",95,7,46,60,45,97
"ensemble-033",100,46,36,80,86,81
"ensemble-034",66,96,29,52,73,43
"ensemble-035",89,53,6,55,21,53
"ensemble-036",81,39,100,42,20,11
"ensemble-037",90,79,2,21,96,99
"ensemble-038",35,72,82,43,99,76
"ensemble-039",73,64,87,32,49,7
"ensemble-040",80,26,13,11,90,37
"ensemble-041",8,18,58,10,38,84
"ensemble-042",1,37,34,7,100,3
"ensemble-043",45,56,5,23,97,100
"ensemble-044",53,11,31,74,22,86
"ensemble-045",19,16,45,12,12,50
"ensemble-046",34,54,43,97,41,78
"ensemble-047",17,13,55,34,81,79
"ensemble-048",32,70,49,26,76,19
"ensemble-049",60,93,23,63,27,54
"ensemble-050",39,44,62,54,61,22
"ensemble-051",82,42,98,8,42,45
"ensemble-052",37,71,35,46,80,4
"ensemble-053",61,22,76,20,68,85
"ensemble-054",52,21,60,45,71,35
"ensemble-055",6,23,94,27,51,65
"ensemble-056",54,40,65,88,4,49
"ensemble-057",33,41,53,91,95,34
"ensemble-058",5,83,1,41,55,2
"ensemble-059",3,78,67,49,7,94
"ensemble-060",18,86,27,19,14,52
"ensemble-061",55,45,85,64,72,29
"ensemble-062",20,77,4,38,57,44
"ensemble-063",25,28,7,66,16,62
"ensemble-064",87,48,57,24,13,39
"ensemble-065",85,61,21,68,62,88
"ensemble-066",67,75,92,77,77,1
"ensemble-067",11,4,90,70,5,96
"ensemble-068",21,69,54,76,25,48
"ensemble-069",38,97,84,69,47,16
"ensemble-070",7,91,83,29,54,74
"ensemble-071",86,74,14,96,23,6
"ensemble-072",92,50,88,40,59,93
"ensemble-073",68,57,91,47,40,36
"ensemble-074",91,49,8,94,9,55
"ensemble-075",13,31,59,57,36,25
"ensemble-076",23,51,80,78,30,66
"ensemble-077",49,29,16,99,64,71
"ensemble-078",31,36,42,44,52,17
"ensemble-079",96,52,81,1,88,82
"ensemble-080",27,100,40,81,19,24
"ensemble-081",4,66,61,6,26,47
"ensemble-082",98,67,51,90,32,83
"ensemble-083",64,9,44,53,48,64
"ensemble-084",79,85,75,59,60,12
"ensemble-085",50,94,56,95,83,46
"ensemble-086",9,12,3,100,93,56
"ensemble-087",63,5,99,62,56,32
"ensemble-088",28,59,97,51,11,23
"ensemble-089",72,89,10,75,87,67
"ensemble-090",99,34,63,9,92,18
"ensemble-091",84,35,52,84,10,30
"ensemble-092",77,1,9,89,50,60
"ensemble-093",47,73,66,15,85,63
"ensemble-094",42,27,37,3,15,77
"ensemble-095",62,6,39,18,78,5
"ensemble-096",70,88,26,16,82,26
"ensemble-097",24,10,33,61,43,13
"ensemble-098",40,84,78,25,66,69
"ensemble-099",26,38,72,39,39,61
"ensemble-100",71,68,15,37,31,70
