"ensemble_id","source_ensemble_id","objective_function","maximum_gradient","hessian_status","positive_definite_hessian","hessian_reliability","negative_eigenvalues","nonpositive_eigenvalues","smallest_eigenvalue","dominant_uncertainty_block","tau","mgc_pass","hessian_qc","ensemble_inclusion"
"ensemble-002","ensemble-002",90793.1502958468,8.22431634352898e-05,"PDH",TRUE,"HIGH",0,0,3.90616e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-003","ensemble-004",94348.627580997,7.27043404534605e-05,"PDH",TRUE,"HIGH",0,0,2.41625e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-008","ensemble-009",89210.3951205126,9.38067380541855e-05,"PDH",TRUE,"HIGH",0,0,3.52587e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-009","ensemble-010",91191.2462824498,7.9242681791666e-05,"PDH",TRUE,"HIGH",0,0,2.20466e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-010","ensemble-011",90300.5924873346,8.56272818320985e-05,"PDH",TRUE,"HIGH",0,0,4.36488e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-011","ensemble-012",94259.5581795038,9.79298296013536e-05,"Near-PDH",FALSE,"MODERATE",1,1,-0.0342331,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-013","ensemble-015",91431.4389781749,5.55643589600894e-05,"PDH",TRUE,"HIGH",0,0,5.77772e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-014","ensemble-018",90670.2316730618,8.57477940961789e-05,"PDH",TRUE,"HIGH",0,0,2.64047e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-015","ensemble-019",105504.262409116,7.97634833285339e-05,"Near-PDH",FALSE,"MODERATE",1,1,-6.23236e-08,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-016","ensemble-021",89330.4853425372,9.66014026466494e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.77757375046984e-06,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-018","ensemble-023",94240.9844727716,9.98658390899425e-05,"PDH",TRUE,"HIGH",0,0,2.1378e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-019","ensemble-024",90378.7262402949,8.11836402342817e-05,"PDH",TRUE,"HIGH",0,0,1.56277e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-023","ensemble-030",93707.1243757821,9.25051540978643e-05,"PDH",TRUE,"HIGH",0,0,1.22288e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-024","ensemble-031",90649.159685697,9.11508095562772e-05,"PDH",TRUE,"HIGH",0,0,3.56715e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-029","ensemble-036",90803.9089336313,9.60307034878377e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.39545050098859e-06,"Recruitment",1.2,TRUE,"Near-PDH","Included"
"ensemble-030","ensemble-038",91038.6593808745,9.14521002644137e-05,"PDH",TRUE,"HIGH",0,0,2.36812e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-031","ensemble-039",94533.6718935139,9.97282515925373e-05,"PDH",TRUE,"HIGH",0,0,3.14232e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-033","ensemble-041",90268.110656382,8.28334541560407e-05,"PDH",TRUE,"HIGH",0,0,2.70286e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-039","ensemble-047",93582.7446635485,9.04861023687408e-05,"PDH",TRUE,"HIGH",0,0,4.3306e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-041","ensemble-050",99110.8561080812,9.15693555346354e-05,"PDH",TRUE,"HIGH",0,0,3.1438e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-042","ensemble-051",90885.4783621964,8.94541125010828e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.18157307148744e-07,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-044","ensemble-053",90473.337531032,9.44201894158258e-05,"PDH",TRUE,"HIGH",0,0,1.55464e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-045","ensemble-054",98800.4369283552,9.82845716671051e-05,"PDH",TRUE,"HIGH",0,0,2.67075e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-046","ensemble-055",89545.1250778607,7.68363871782179e-05,"PDH",TRUE,"HIGH",0,0,1.69232e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-047","ensemble-056",89738.8394012212,9.56455524782732e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.26680141677037e-07,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-048","ensemble-057",89754.5826581451,9.81371285103359e-05,"PDH",TRUE,"HIGH",0,0,2.798e-08,NA,1.3,TRUE,"PDH","Included"
"ensemble-052","ensemble-066",90067.5462055429,9.35891790989841e-05,"PDH",TRUE,"HIGH",0,0,1.63112e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-053","ensemble-068",90900.6280136224,9.55592043635695e-05,"PDH",TRUE,"HIGH",0,0,2.26184e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-054","ensemble-069",91309.5783498791,9.8743567838717e-05,"PDH",TRUE,"HIGH",0,0,2.55743e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-055","ensemble-070",105035.13802265,9.08775724676129e-05,"PDH",TRUE,"HIGH",0,0,3.51195e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-057","ensemble-072",89870.8543687288,9.73948216398625e-05,"PDH",TRUE,"HIGH",0,0,2.32655e-07,NA,1.4,TRUE,"PDH","Included"
"ensemble-058","ensemble-073",90665.1235867062,9.19944520636268e-05,"PDH",TRUE,"HIGH",0,0,1.77332e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-060","ensemble-075",90284.5133978145,9.68746985254042e-05,"PDH",TRUE,"HIGH",0,0,2.08193e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-061","ensemble-076",89729.0083119573,9.46904796903706e-05,"PDH",TRUE,"HIGH",0,0,1.96981e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-063","ensemble-079",91023.7983733542,9.82179805203994e-05,"Near-PDH",FALSE,"MODERATE",1,1,-2.92638158291867e-05,"Recruitment",1.4,TRUE,"Near-PDH","Included"
"ensemble-065","ensemble-081",91238.4314201187,9.19822398004377e-05,"PDH",TRUE,"HIGH",0,0,2.58477e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-066","ensemble-082",90866.0227858523,9.8646557371807e-05,"PDH",TRUE,"HIGH",0,0,6.76509e-08,NA,1.4,TRUE,"PDH","Included"
"ensemble-067","ensemble-084",94747.2644961244,8.32858861730589e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.44101098845554e-06,"Recruitment",1.2,TRUE,"Near-PDH","Included"
"ensemble-068","ensemble-085",90551.7263759176,9.87241338180133e-05,"Near-PDH",FALSE,"MODERATE",1,1,-1.8696219996214e-06,"Recruitment",1.3,TRUE,"Near-PDH","Included"
"ensemble-070","ensemble-087",105126.47722288,8.83510971924596e-05,"PDH",TRUE,"HIGH",0,0,1.87908e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-071","ensemble-088",89804.6314551239,9.24667876098685e-05,"PDH",TRUE,"HIGH",0,0,2.39283e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-073","ensemble-090",94833.8540336592,9.38918086933695e-05,"PDH",TRUE,"HIGH",0,0,2.41413e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-074","ensemble-091",89300.677157714,9.10361513023442e-05,"PDH",TRUE,"HIGH",0,0,1.89779e-07,NA,1.2,TRUE,"PDH","Included"
"ensemble-076","ensemble-093",91194.7198416217,8.84219549571631e-05,"PDH",TRUE,"HIGH",0,0,2.6987e-07,NA,1.3,TRUE,"PDH","Included"
"ensemble-079","ensemble-098",90543.8730668689,9.94783045301106e-05,"PDH",TRUE,"HIGH",0,0,3.43013e-07,NA,1.4,TRUE,"PDH","Included"
