"Group","Quantity","Period","Unit","Minimum","10%","Median","Mean","90%","Maximum"
"Combined (RR=0 + RR=1)","F multiplier at MSY","2020–2023","multiplier",0.694500000000001,0.837069999999998,1.1925,1.25323375,1.6824,3.026
"Combined (RR=0 + RR=1)","Frecent / FMSY","2020–2023","ratio",0.330469266358229,0.594389269961902,0.838575750287964,0.860170551716451,1.19468991873444,1.43988480921526
"Combined (RR=0 + RR=1)","SBF=0","2014–2023 mean","thousand MT",874.65275,969.691625,1625.026625,1851.250551875,3222.424075,3990.865
"Combined (RR=0 + RR=1)","SBlatest / SBF=0","2024 / 2014–2023","ratio",0.112762457988726,0.151323953347536,0.242252567389534,0.247575870301078,0.349916102258722,0.427760687477387
"Combined (RR=0 + RR=1)","SBlatest / SBMSY","2024 / equilibrium SBMSY","ratio",0.65695,0.84226,1.3475,1.395300625,1.9938,2.477
"Combined (RR=0 + RR=1)","SBrecent / SBF=0","2021–2024 / 2014–2023","ratio",0.126475943243433,0.174554102006625,0.278343268806794,0.279676728983758,0.383912801714596,0.502502464457177
"Combined (RR=0 + RR=1)","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","ratio",0.736775825346113,0.997431408802551,1.50722590514988,1.58091540357381,2.23649026363338,2.8819338365897
"Combined (RR=0 + RR=1)","SBMSY","Equilibrium","thousand MT",112.6,152.56,289.05,346.05125,661.78,1019
"Combined (RR=0 + RR=1)","SBMSY / SBF=0","Equilibrium / 2014–2023","ratio",0.128277096756646,0.155931806017883,0.17595611892239,0.178550026377097,0.199859730134232,0.255333117005963
"RR=0: inclusion","F multiplier at MSY","2020–2023","multiplier",0.694500000000001,0.794979999999998,1.0925,1.20943823529412,1.8134,3.026
"RR=0: inclusion","Frecent / FMSY","2020–2023","ratio",0.330469266358229,0.552668277107608,0.915331999504003,0.909478500233205,1.25948321653601,1.43988480921526
"RR=0: inclusion","SBF=0","2014–2023 mean","thousand MT",875.262,919.54725,1385.181075,1687.66396029412,2872.814675,3697.1905
"RR=0: inclusion","SBlatest / SBF=0","2024 / 2014–2023","ratio",0.112762457988726,0.137469992718785,0.218240724436,0.227058298535839,0.315772850747256,0.427760687477387
"RR=0: inclusion","SBlatest / SBMSY","2024 / equilibrium SBMSY","ratio",0.65695,0.778475,1.22475,1.32730367647059,2.098225,2.477
"RR=0: inclusion","SBrecent / SBF=0","2021–2024 / 2014–2023","ratio",0.126475943243433,0.162235958646145,0.255477385245047,0.258876689853752,0.357872777520321,0.502502464457177
"RR=0: inclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","ratio",0.736775825346113,0.910908436278479,1.41813458565866,1.51676378410039,2.41709101404542,2.8819338365897
"RR=0: inclusion","SBMSY","Equilibrium","thousand MT",112.6,152.32,235.249999999999,306.214705882353,563.910000000001,853.099999999998
"RR=0: inclusion","SBMSY / SBF=0","Equilibrium / 2014–2023","ratio",0.128277096756646,0.152920023271447,0.172256497504434,0.173695614546547,0.194986037797133,0.239163541563215
"RR=1: exclusion","F multiplier at MSY","2020–2023","multiplier",0.7341,0.91835,1.2765,1.28560434782609,1.6225,2.17
"RR=1: exclusion","Frecent / FMSY","2020–2023","ratio",0.460829493087558,0.616363784173525,0.783392207932483,0.823725546291024,1.08895516888902,1.36221223266585
"RR=1: exclusion","SBF=0","2014–2023 mean","thousand MT",874.65275,981.941375,1864.465,1972.16238043478,3293.595375,3990.865
"RR=1: exclusion","SBlatest / SBF=0","2024 / 2014–2023","ratio",0.118567760951117,0.165063147752107,0.256946884332857,0.262741032040602,0.368430210911142,0.406785245805107
"RR=1: exclusion","SBlatest / SBMSY","2024 / equilibrium SBMSY","ratio",0.674625,0.9219875,1.459625,1.44555923913043,1.978625,2.30525
"RR=1: exclusion","SBrecent / SBF=0","2021–2024 / 2014–2023","ratio",0.135643445762942,0.188344258226884,0.290895695269712,0.295050670949415,0.412027504150508,0.439595801912618
"RR=1: exclusion","SBrecent / SBMSY","2021–2024 / equilibrium SBMSY","ratio",0.77173533614589,1.05619729518594,1.64346440087554,1.6283318179672,2.18607940738521,2.65134389013453
"RR=1: exclusion","SBMSY","Equilibrium","thousand MT",130.7,160.6,327.35,375.495652173913,684.7,1019
"RR=1: exclusion","SBMSY / SBF=0","Equilibrium / 2014–2023","ratio",0.140135423141698,0.157296046859965,0.177819336386318,0.182138069904026,0.205515568011395,0.255333117005963
