"Model","Objective function","MGC","Positive-definite Hessian"
"ensemble-001","98,233.0","9.61e-05","No"
"ensemble-002","90,793.2","8.22e-05","Yes"
"ensemble-004","94,348.6","7.27e-05","Yes"
"ensemble-005","100,392.0","5.46e-05","Yes"
"ensemble-006","90,039.9","6.90e-05","No"
"ensemble-007","94,143.3","8.38e-05","Yes"
"ensemble-008","90,079.1","9.93e-05","No"
"ensemble-009","89,210.4","9.38e-05","Yes"
"ensemble-010","91,191.2","7.92e-05","Yes"
"ensemble-011","90,300.6","8.56e-05","Yes"
"ensemble-012","94,259.6","9.79e-05","No"
"ensemble-014","89,811.4","9.20e-05","Yes"
"ensemble-015","91,431.4","5.56e-05","Yes"
"ensemble-018","90,670.2","8.57e-05","Yes"
"ensemble-019","105,504.3","7.98e-05","No"
"ensemble-021","89,330.5","9.66e-05","No"
"ensemble-022","89,958.3","9.22e-05","Yes"
"ensemble-023","94,241.0","9.99e-05","Yes"
"ensemble-024","90,378.7","8.12e-05","Yes"
"ensemble-025","89,928.2","9.09e-05","Yes"
"ensemble-027","90,044.7","9.26e-05","Yes"
"ensemble-029","89,853.1","9.62e-05","No"
"ensemble-030","93,707.1","9.25e-05","Yes"
"ensemble-031","90,649.2","9.12e-05","Yes"
"ensemble-032","88,935.7","7.67e-05","Yes"
"ensemble-033","90,472.6","7.34e-05","Yes"
"ensemble-034","100,501.7","5.98e-05","Yes"
"ensemble-035","89,621.7","9.78e-05","Yes"
"ensemble-036","90,803.9","9.60e-05","No"
"ensemble-038","91,038.7","9.15e-05","Yes"
"ensemble-039","94,533.7","9.97e-05","Yes"
"ensemble-040","94,527.6","9.97e-05","Yes"
"ensemble-041","90,268.1","8.28e-05","Yes"
"ensemble-042","89,359.1","9.39e-05","No"
"ensemble-043","90,710.2","9.08e-05","No"
"ensemble-044","93,282.3","9.30e-05","No"
"ensemble-045","90,083.9","9.95e-05","No"
"ensemble-046","89,322.4","8.47e-05","Yes"
"ensemble-047","93,582.7","9.05e-05","Yes"
"ensemble-049","90,317.0","8.42e-05","Yes"
"ensemble-050","99,110.9","9.16e-05","Yes"
"ensemble-051","90,885.5","8.95e-05","No"
"ensemble-052","90,810.5","8.73e-05","Yes"
"ensemble-053","90,473.3","9.44e-05","Yes"
"ensemble-054","98,800.4","9.83e-05","Yes"
"ensemble-055","89,545.1","7.68e-05","Yes"
"ensemble-056","89,738.8","9.56e-05","No"
"ensemble-057","89,754.6","9.81e-05","Yes"
"ensemble-062","89,387.6","9.69e-05","No"
"ensemble-063","89,206.3","5.94e-05","Yes"
"ensemble-065","90,487.5","9.18e-05","Yes"
"ensemble-066","90,067.5","9.36e-05","Yes"
"ensemble-068","90,900.6","9.56e-05","Yes"
"ensemble-069","91,309.6","9.87e-05","Yes"
"ensemble-070","105,035.1","9.09e-05","Yes"
"ensemble-071","89,623.3","6.78e-05","Yes"
"ensemble-072","89,870.9","9.74e-05","Yes"
"ensemble-073","90,665.1","9.20e-05","Yes"
"ensemble-074","89,738.8","9.41e-05","Yes"
"ensemble-075","90,284.5","9.69e-05","Yes"
"ensemble-076","89,729.0","9.47e-05","Yes"
"ensemble-078","93,534.2","9.98e-05","Yes"
"ensemble-079","91,023.8","9.82e-05","No"
"ensemble-080","89,824.0","9.18e-05","Yes"
"ensemble-081","91,238.4","9.20e-05","Yes"
"ensemble-082","90,866.0","9.86e-05","Yes"
"ensemble-084","94,747.3","8.33e-05","No"
"ensemble-085","90,551.7","9.87e-05","No"
"ensemble-086","88,897.8","9.05e-05","Yes"
"ensemble-087","105,126.5","8.84e-05","Yes"
"ensemble-088","89,804.6","9.25e-05","Yes"
"ensemble-089","94,590.4","8.64e-05","Yes"
"ensemble-090","94,833.9","9.39e-05","Yes"
"ensemble-091","89,300.7","9.10e-05","Yes"
"ensemble-092","92,991.6","9.56e-05","Yes"
"ensemble-093","91,194.7","8.84e-05","Yes"
"ensemble-094","90,341.2","8.84e-05","Yes"
"ensemble-095","89,697.6","6.97e-05","Yes"
"ensemble-098","90,543.9","9.95e-05","Yes"
"ensemble-099","89,935.7","9.31e-05","Yes"
