"Fishery","Name","Region","Unit","2022–2024 mean annual catch"
1,"01.LL.WEST.1",1,"number","154180."
2,"02.LL.EAST.1",1,"number","55809.3"
3,"03.LL.US.1",1,"number","133680."
4,"04.LL.ALL.2",2,"number","29070.7"
5,"05.LL.OS.2",2,"number","70626.3"
6,"06.LL.ARCH.3",3,"number","24575.0"
7,"07.LL.WEST.3",3,"number","84830.7"
8,"08.LL.EAST.3",4,"number","18679.0"
9,"09.LL.OS.3",3,"number","0"
10,"10.LL.ALL.5",5,"number","118392."
11,"11.LL.AU.5",5,"number","2578.00"
12,"12.PS.JP.1",1,"weight","1014.47"
13,"13.PL.JP.1",1,"weight","2105.71"
14,"14.HL.ID.2",2,"weight","5190.00"
15,"15.HL.PH.2",2,"weight","200.000"
16,"16.PL.ALL.2",2,"weight","588.792"
17,"17.PS.ID.2",2,"weight","410.848"
18,"18.PS.PH.2",2,"weight","58.3223"
19,"19.PS.ASS.2",2,"weight","11.1657"
20,"20.PS.UNA.2",2,"weight","401.107"
21,"21.DOM.ID.2",2,"weight","24061.9"
22,"22.DOM.PH.2",2,"weight","121.457"
23,"23.DOM.VN.2",2,"weight","471.369"
24,"24.PL.ALL.WEST.3",3,"weight","0.233333"
25,"25.PS.ASS.WEST.3",3,"weight","15102.6"
26,"26.PS.ASS.EAST.3",4,"weight","4848.36"
27,"27.PS.UNA.WEST.3",3,"weight","4455.63"
28,"28.PS.UNA.EAST.3",4,"weight","11.1177"
29,"29.Index R1",1,"number","4.00000"
30,"30.Index R2",2,"number","4.00000"
31,"31.Index R3",3,"number","4.00000"
32,"32.Index R4",4,"number","4.00000"
33,"33.Index R5",5,"number","4.00000"
