"fishery","fishery_name","region","quarter","month","catch_unit","mean_quarterly_catch","exact_zero"
1,"01.LL.WEST.1",1,1,2,"number",40035.3333333333,FALSE
1,"01.LL.WEST.1",1,2,5,"number",15016.3333333333,FALSE
1,"01.LL.WEST.1",1,3,8,"number",25250.6666666667,FALSE
1,"01.LL.WEST.1",1,4,11,"number",73877.3333333333,FALSE
2,"02.LL.EAST.1",1,1,2,"number",0,TRUE
2,"02.LL.EAST.1",1,2,5,"number",19041.6666666667,FALSE
2,"02.LL.EAST.1",1,3,8,"number",4760.33333333333,FALSE
2,"02.LL.EAST.1",1,4,11,"number",32007.3333333333,FALSE
3,"03.LL.US.1",1,1,2,"number",39394.6666666667,FALSE
3,"03.LL.US.1",1,2,5,"number",32533.6666666667,FALSE
3,"03.LL.US.1",1,3,8,"number",22867.6666666667,FALSE
3,"03.LL.US.1",1,4,11,"number",38883.6666666667,FALSE
4,"04.LL.ALL.2",2,1,2,"number",6006.66666666667,FALSE
4,"04.LL.ALL.2",2,2,5,"number",7165,FALSE
4,"04.LL.ALL.2",2,3,8,"number",9075.33333333333,FALSE
4,"04.LL.ALL.2",2,4,11,"number",6823.66666666667,FALSE
5,"05.LL.OS.2",2,1,2,"number",27780.6666666667,FALSE
5,"05.LL.OS.2",2,2,5,"number",13839.3333333333,FALSE
5,"05.LL.OS.2",2,3,8,"number",13864.6666666667,FALSE
5,"05.LL.OS.2",2,4,11,"number",15141.6666666667,FALSE
6,"06.LL.ARCH.3",3,1,2,"number",5587.66666666667,FALSE
6,"06.LL.ARCH.3",3,2,5,"number",4871,FALSE
6,"06.LL.ARCH.3",3,3,8,"number",5946.66666666667,FALSE
6,"06.LL.ARCH.3",3,4,11,"number",8169.66666666667,FALSE
7,"07.LL.WEST.3",3,1,2,"number",41767.3333333333,FALSE
7,"07.LL.WEST.3",3,2,5,"number",0,TRUE
7,"07.LL.WEST.3",3,3,8,"number",15980.3333333333,FALSE
7,"07.LL.WEST.3",3,4,11,"number",27083,FALSE
8,"08.LL.EAST.3",4,1,2,"number",18679,FALSE
8,"08.LL.EAST.3",4,2,5,"number",0,TRUE
8,"08.LL.EAST.3",4,3,8,"number",0,TRUE
8,"08.LL.EAST.3",4,4,11,"number",0,TRUE
9,"09.LL.OS.3",3,1,2,"number",0,TRUE
9,"09.LL.OS.3",3,2,5,"number",0,TRUE
9,"09.LL.OS.3",3,3,8,"number",0,TRUE
9,"09.LL.OS.3",3,4,11,"number",0,TRUE
10,"10.LL.ALL.5",5,1,2,"number",24574.3333333333,FALSE
10,"10.LL.ALL.5",5,2,5,"number",21231.6666666667,FALSE
10,"10.LL.ALL.5",5,3,8,"number",41552.3333333333,FALSE
10,"10.LL.ALL.5",5,4,11,"number",31033.3333333333,FALSE
11,"11.LL.AU.5",5,1,2,"number",479.666666666667,FALSE
11,"11.LL.AU.5",5,2,5,"number",1018,FALSE
11,"11.LL.AU.5",5,3,8,"number",723.333333333333,FALSE
11,"11.LL.AU.5",5,4,11,"number",357,FALSE
12,"12.PS.JP.1",1,1,2,"weight",0,TRUE
12,"12.PS.JP.1",1,2,5,"weight",202.268,FALSE
12,"12.PS.JP.1",1,3,8,"weight",441.341333333333,FALSE
12,"12.PS.JP.1",1,4,11,"weight",370.865333333333,FALSE
13,"13.PL.JP.1",1,1,2,"weight",111.334666666667,FALSE
13,"13.PL.JP.1",1,2,5,"weight",1065.60133333333,FALSE
13,"13.PL.JP.1",1,3,8,"weight",830.568,FALSE
13,"13.PL.JP.1",1,4,11,"weight",98.2013333333333,FALSE
14,"14.HL.ID.2",2,1,2,"weight",1280,FALSE
14,"14.HL.ID.2",2,2,5,"weight",1280,FALSE
14,"14.HL.ID.2",2,3,8,"weight",1280,FALSE
14,"14.HL.ID.2",2,4,11,"weight",1350,FALSE
15,"15.HL.PH.2",2,1,2,"weight",0,TRUE
15,"15.HL.PH.2",2,2,5,"weight",0,TRUE
15,"15.HL.PH.2",2,3,8,"weight",0,TRUE
15,"15.HL.PH.2",2,4,11,"weight",200,FALSE
16,"16.PL.ALL.2",2,1,2,"weight",142.727333333333,FALSE
16,"16.PL.ALL.2",2,2,5,"weight",124.275666666667,FALSE
16,"16.PL.ALL.2",2,3,8,"weight",124.320333333333,FALSE
16,"16.PL.ALL.2",2,4,11,"weight",197.469,FALSE
17,"17.PS.ID.2",2,1,2,"weight",102.710333333333,FALSE
17,"17.PS.ID.2",2,2,5,"weight",102.667333333333,FALSE
17,"17.PS.ID.2",2,3,8,"weight",102.665333333333,FALSE
17,"17.PS.ID.2",2,4,11,"weight",102.804666666667,FALSE
18,"18.PS.PH.2",2,1,2,"weight",0,TRUE
18,"18.PS.PH.2",2,2,5,"weight",0,TRUE
18,"18.PS.PH.2",2,3,8,"weight",58.3223333333333,FALSE
18,"18.PS.PH.2",2,4,11,"weight",0,TRUE
19,"19.PS.ASS.2",2,1,2,"weight",0,TRUE
19,"19.PS.ASS.2",2,2,5,"weight",11.1656666666667,FALSE
19,"19.PS.ASS.2",2,3,8,"weight",0,TRUE
19,"19.PS.ASS.2",2,4,11,"weight",0,TRUE
20,"20.PS.UNA.2",2,1,2,"weight",25.556,FALSE
20,"20.PS.UNA.2",2,2,5,"weight",47.9796666666667,FALSE
20,"20.PS.UNA.2",2,3,8,"weight",183.402666666667,FALSE
20,"20.PS.UNA.2",2,4,11,"weight",144.168333333333,FALSE
21,"21.DOM.ID.2",2,1,2,"weight",6015.478,FALSE
21,"21.DOM.ID.2",2,2,5,"weight",6015.478,FALSE
21,"21.DOM.ID.2",2,3,8,"weight",6015.478,FALSE
21,"21.DOM.ID.2",2,4,11,"weight",6015.478,FALSE
22,"22.DOM.PH.2",2,1,2,"weight",0,TRUE
22,"22.DOM.PH.2",2,2,5,"weight",0,TRUE
22,"22.DOM.PH.2",2,3,8,"weight",0,TRUE
22,"22.DOM.PH.2",2,4,11,"weight",121.457,FALSE
23,"23.DOM.VN.2",2,1,2,"weight",46.7236666666667,FALSE
23,"23.DOM.VN.2",2,2,5,"weight",64.876,FALSE
23,"23.DOM.VN.2",2,3,8,"weight",204.792666666667,FALSE
23,"23.DOM.VN.2",2,4,11,"weight",154.976666666667,FALSE
24,"24.PL.ALL.WEST.3",3,1,2,"weight",0.233333333333333,FALSE
24,"24.PL.ALL.WEST.3",3,2,5,"weight",0,TRUE
24,"24.PL.ALL.WEST.3",3,3,8,"weight",0,TRUE
24,"24.PL.ALL.WEST.3",3,4,11,"weight",0,TRUE
25,"25.PS.ASS.WEST.3",3,1,2,"weight",3866.176,FALSE
25,"25.PS.ASS.WEST.3",3,2,5,"weight",4519.37933333333,FALSE
25,"25.PS.ASS.WEST.3",3,3,8,"weight",2449.727,FALSE
25,"25.PS.ASS.WEST.3",3,4,11,"weight",4267.29,FALSE
26,"26.PS.ASS.EAST.3",4,1,2,"weight",1248.888,FALSE
26,"26.PS.ASS.EAST.3",4,2,5,"weight",1331.285,FALSE
26,"26.PS.ASS.EAST.3",4,3,8,"weight",568.727,FALSE
26,"26.PS.ASS.EAST.3",4,4,11,"weight",1699.45666666667,FALSE
27,"27.PS.UNA.WEST.3",3,1,2,"weight",983.172333333333,FALSE
27,"27.PS.UNA.WEST.3",3,2,5,"weight",951.475333333333,FALSE
27,"27.PS.UNA.WEST.3",3,3,8,"weight",1225.387,FALSE
27,"27.PS.UNA.WEST.3",3,4,11,"weight",1295.59466666667,FALSE
28,"28.PS.UNA.EAST.3",4,1,2,"weight",0.186666666666667,FALSE
28,"28.PS.UNA.EAST.3",4,2,5,"weight",2.20933333333333,FALSE
28,"28.PS.UNA.EAST.3",4,3,8,"weight",4.34433333333333,FALSE
28,"28.PS.UNA.EAST.3",4,4,11,"weight",4.37733333333333,FALSE
29,"29.Index R1",1,1,2,"number",1,FALSE
29,"29.Index R1",1,2,5,"number",1,FALSE
29,"29.Index R1",1,3,8,"number",1,FALSE
29,"29.Index R1",1,4,11,"number",1,FALSE
30,"30.Index R2",2,1,2,"number",1,FALSE
30,"30.Index R2",2,2,5,"number",1,FALSE
30,"30.Index R2",2,3,8,"number",1,FALSE
30,"30.Index R2",2,4,11,"number",1,FALSE
31,"31.Index R3",3,1,2,"number",1,FALSE
31,"31.Index R3",3,2,5,"number",1,FALSE
31,"31.Index R3",3,3,8,"number",1,FALSE
31,"31.Index R3",3,4,11,"number",1,FALSE
32,"32.Index R4",4,1,2,"number",1,FALSE
32,"32.Index R4",4,2,5,"number",1,FALSE
32,"32.Index R4",4,3,8,"number",1,FALSE
32,"32.Index R4",4,4,11,"number",1,FALSE
33,"33.Index R5",5,1,2,"number",1,FALSE
33,"33.Index R5",5,2,5,"number",1,FALSE
33,"33.Index R5",5,3,8,"number",1,FALSE
33,"33.Index R5",5,4,11,"number",1,FALSE
