"Diagram","Category","Probability"
"Current Kobe","Green",0.704625
"Current Kobe","Yellow",0.05475
"Current Kobe","Orange",0.122375
"Current Kobe","Red",0.11825
"Current Majuro","Green",0.75825
"Current Majuro","Orange",0.055375
"Current Majuro","Red",0.186375
"Terminal projection Kobe","Green",0.955
"Terminal projection Kobe","Yellow",0
"Terminal projection Kobe","Orange",0.045
"Terminal projection Kobe","Red",0
"Terminal projection Majuro","Green",0.955
"Terminal projection Majuro","Orange",0.045
"Terminal projection Majuro","Red",0
